userName,score,at,Ulasan,Sentimen
Rolandes Tri Putra Simanjuntak,5,2023-09-25 10:58:54,Bagus bisa liat oshi,1
Nafisah Nuraini,2,2023-09-25 10:22:24,"Kenapa gk bisa login padahal udh sesuai petunjuk, password nya bnr tpi mlh salah sih gmn ğŸ‘½",-1
Zinedine,1,2023-09-25 7:16:03,"Jaringan lancar bisa buat streaming YT, eh masuk apk ini malah jaringan error, gajelas",-1
Jason Frans,5,2023-09-24 14:38:57,"Apknya bagus,bisa liat cwe"" cantik",1
kaisar romawi tenggara,5,2023-09-23 13:37:55,saya suka sr apalagi michie nya pas lagi sr,1
Mahira Septi,5,2023-09-21 13:55:30,"Bagus, saya jadi bisa nonton pacar sayağŸ¥°",1
Ikhfi Danuri,5,2023-09-21 8:52:56,Seru bgt bisa nonton oshi lagi srğŸ˜†,1
Fakhri Djuanda,4,2023-09-19 18:00:54,"Mantap sih, tapi kadang notif nya telat ğŸ˜”",1
Majid Abdul,4,2023-09-19 14:58:19,"kenapa setiap aku mau masuk sr selalu gak muncul gambar/video aidol/member JKT48 nya, malah disuruh rilod kembali sama apk nya tapi pas udah rilod kembali masih ajah tetap gak muncul gambar/vide aidol nya, padah sinyal internet di tempat saya bagus saya tapi kenapa selalu disuruh rilod kembali, mohon di perbaiki kembali ya apk nya.",-1
Bambang Saputra Syam,1,2023-09-19 14:58:06,Aplikasinya erorr gua kasih bintang satuğŸ™‚,-1
Ricky Ade Bima.,1,2023-09-19 14:44:03,"Gbs di pake bang, ini ngapa sr gua cuma layar nya item udh gua uninstall ttp gbs",-1
Yadi Permana,1,2023-09-19 14:42:55,Benerin dong min supaya ga eror pake wifi ah elah,-1
pande agung,1,2023-09-19 14:35:10,Nonton idol siapun showroomnya selalu loading,-1
ALFIA ZAFA,5,2023-09-19 14:11:31,Gw tebak yg download ini cmn buat nonton sr oshi ny,0
Ashar Romadhon,5,2023-09-19 10:50:33,sebuah aplikasi yang bisa mengenal idolnya lebih dekat dengan para fansnya,1
rafly alazhar,4,2023-09-18 10:00:35,"gatauuu mau ngomong apa, yang pasti baguslah aplikasinya hehe",1
Habibi New,4,2023-09-18 7:59:04,Kenapa akun saya hilang ini gimana padahal udh di top up in,-1
Arma Satria Gufta,1,2023-09-17 22:53:02,Kembalikan lagi sih bintang gratisnya,-1
Dava Arzl,5,2023-09-17 15:26:07,udah sangat bagus sih bisa gak sih itu notif sama tulisan dalam aplikasi nya di ganti jadi bahasa indonesia aja terus notif nya di tampilkan di atas,1
zhafa Munandar,5,2023-09-17 15:04:22,Aplikasi nya bagus cuman kurang bahasa Indonesia ğŸ™,1
Aimar Goim,1,2023-09-17 14:57:27,Udah ada akun dan kata sandi udah bener tapi gak tau kenapa ditulis salah SHOWROOM SEKARANG GJ @&$_$+(,-1
Gabriel Piero,5,2023-09-17 14:44:51,Aplikasi nya bagus dan berfungsi dengan baik,1
Orang Aneh,5,2023-09-17 12:44:43,Apknya bagus kurangnya cuma 1 pas buka srnya michie chatan gw gk dibalasğŸ—¿,1
Rosi Awan,5,2023-09-17 12:13:04,Seru bgt krna bisa nonton live member jeketi,1
Rasya Bintang,5,2023-09-17 11:03:11,Sambil nunggu si nurdana sr kita kasih lima bintang,1
arif fatur ramadhan,5,2023-09-17 10:30:58,Kok gua gabisa update ya tidak dapat menginstal,-1
Dandy Permana,5,2023-09-17 10:08:13,bagus aja buat nonton ayangğŸ˜,1
Aisyah Putri,5,2023-09-17 10:05:12,Aplikasi nya bagus untuk nonton sr,1
Farid Syahputra18,1,2023-09-17 9:12:09,Saya udah update malah update lagi,-1
Aswar Aswar,5,2023-09-15 15:08:26,Sangat memuaskan,1
Galang Ramadhan,5,2023-09-15 14:54:42,Keren banget apk nya,1
Siti Nurjanah,5,2023-09-15 13:54:01,Aplikasinya menarik dan sangat bagus saya sukağŸ¥°ğŸ‘Œ,1
rakha Al Buchori,5,2023-09-14 12:40:32,Buatkan global version seperti pembayaran memakai uang dari masing2 negara dan bahasa didalam aplikasi juga dari masing2 negara jadi tidak kebingungan dengan bahasa jepang,0
Lilik Kumrotin,1,2023-09-14 12:38:14,"Asyuh cok i, minta perbarui giliran di perbarui gak bisa di buka.",-1
Rendi Roy Risyando,5,2023-09-14 12:32:24,setelah update nambah gacorr,1
Arga Arian7,5,2023-09-14 8:49:13,Bagus tapi kalo bisa lebih cepet lagi ngirim notif yang live suka gak ada notif,1
Destian Zaky padilah,4,2023-09-14 2:02:46,Bintang gratis nya jangan diilangin lahh,-1
Siti nurul inka Yati,3,2023-09-13 15:20:43,"Awalnya baik""sajah ko inih usah di buka",-1
Rizky Aditya,5,2023-09-13 14:09:03,Bagus min Tapi usahain live nya grafik lumayan hd,1
MISBAH HUL MUNIR,5,2023-09-13 6:07:18,"Aku gk tau mau bilangnya gimana dan mulai darimana, pokoknya ini aplikasi sangat-sangat terbaik. Mungkin gara-gara bisa nonton Gita :v. Thank you very much",1
Indah 0407,1,2023-09-11 15:16:43,Tidak bsa di update/dowload lagi...,-1
Rafly Muhammad,5,2023-09-11 15:07:21,Ga ada minus ada sih cuma satu kalo pake wfi gabisa hrs pke dta,1
Zamm Za,5,2023-09-11 15:04:45,"gara"" apk ini gw tiap hari liat bidadari jkt",1
Makhluk 2K86,1,2023-09-11 15:04:34,Bintang 1 karna oshi gw jarang sr:(,0
Mad Zhaa,5,2023-09-11 15:03:02,"Aku sangat suka sama ini aplikasi, bisa buat nonton sr oshi klen Jan lupa download ya",1
Jonathan Putra Prakosa (Joput),1,2023-09-11 14:42:12,"Tolong diubah kembali fitur lama, ini sangat kapitalis.",-1
Muhammad Raihan,3,2023-09-11 14:27:50,tidak muncul notifikasinya kalo ada member showroom dll,-1
David 28,1,2023-09-11 14:24:34,aplikasi sampah masa gak bisa pakai wifi,-1
Pajira Lubis,5,2023-09-11 14:19:03,Mantab bos quu apk nyağŸ˜,1
Okta Shyalendra Putra,4,2023-09-11 14:10:24,Bagus bisa liat freya saat live,1
Akun Game,5,2023-09-11 10:58:02,Aku jadii bisa liat oshi aku yee,1
Fino Badi'lah Ramadhan,3,2023-09-11 8:00:30,Ga bisa login padahal udah pake semua cara Mohon di perbaiki,-1
Rifky Bayu Prayoga,2,2023-09-11 2:55:24,"Dulu bisa login,sekarang mau login gabisa,gimana si ni apk,pake facebook gabisa pake twitter juga gabisa,hadeh",-1
Mhd Reza Saputra,1,2023-09-10 22:22:25,Knp ga bisa login fb ni Giman login Twitter jg gak bisa aneh,-1
Sanjaya Aja,5,2023-09-10 14:52:30,"Sangat membantu min makasih, untuk menemani live member JKT48",1
Defri Malik1,1,2023-09-10 13:42:45,Kagak bsa login,-1
Rido Riandi,1,2023-09-10 10:55:17,Gadak bagusnya malah bahasa China semua,-1
Ilham Kurrniawannn,4,2023-09-09 13:12:50,Kenapa saya tidak bisa log in menggunakan facebook / X. Tolong kasih saran atau beritahu saya cara nya,-1
EfrocyRdl,1,2023-09-09 12:08:43,Masa ga bisa masuk akun fb,-1
Aidil Fitriana,1,2023-09-09 11:58:10,Cara login nya gimana sih aku coba gak bisa login tolong jelas kan,-1
Romadhon Romadhon,1,2023-09-09 8:11:40,Gak bisa masuk error mulu gak bisa log in gk jelas,-1
Khawenks Stones,5,2023-09-08 12:33:08,Apk nya bagus untuk para wota wota jkt48...... Tapi mohon yang pake kartu Tri di bisain cara mengechat para member jkt48,1
dev tirz,2,2023-09-07 7:54:41,tolong untuk developer di fix untuk login Facebook always gagal terus,-1
Muhammad Rasyid,5,2023-09-05 12:01:33,Tolong aku ngk ngerti cara nya masukin sandi nya,-1
Ripz Tijiii,3,2023-09-04 0:27:47,"Min, cuma ngasih saran aja, apk nya tolong dikasih vitur kick penonton/saran lain , soalnya kasian kalo member lagi sr, penontonnya malah nanyain member lain",0
Devdan Widiasmara,5,2023-09-02 6:32:50,aku suka nonton oshi ku di apk iniğŸ˜ğŸ˜,1
19_Khesya Zara Aprilia,2,2023-09-02 0:44:38,Ga bisa login padahal udah dicoba berulang-ulang,-1
Ar Fn,5,2023-08-30 3:37:55,biasanya waktu membuka aplikasi showroom bisa menggunakan wifi. tapi sekarang aplikasi showroom tidak bisa dibuka menggunakan wifi. saya harus menggunakan data seluler untuk membuka showroom,-1
Rivall.,2,2023-08-27 12:42:15,"Gabisa login sama sign up padahal udah ada instruksi lanjutkan pas dibuka di fb tapi pas di showroom nya belum kedaftar akunnya mohon diperbaiki lagi apk nya karena kasus ini bukan yang pertama kali tapi sudah berkali kali,ini masalahnya gabisa login dan sign up padahal di fb sudah tertaut akunnya tapi di showroom gaada akunnya",-1
Adelova Agustine,5,2023-08-25 1:11:53,Berkat aplikasi ini gwh bisa liat oshi gw ğŸ˜,1
Muhammad Maulana Rizqi,5,2023-08-22 13:38:01,Sedang menunggu fitur full screen,0
Shaqilla Putri,5,2023-08-21 15:29:48,Saran saya mending kalo bisa di munculin lah notif nya soalnya saya ke tinggalan trus sr oshi ku,0
FeroGans Gans,5,2023-08-21 10:46:44,Showroom lah yg menemani Dan membuat Hidup lebih berwarna,1
Fauzil Azim,5,2023-08-20 8:56:34,Lumayan walaupun GK bisa komen,1
Buambang Buambang,1,2023-08-20 4:04:44,Bintang satu aja sudah untung apk taik kayak yg bikin ga bisa di kuka ga niat bikin apk yang bikin sini ku patahkan lehernya ga niat bikin apk ga bisa di buka masa Nick name 20/30,-1
Muhammad Opick,3,2023-08-17 14:59:53,"Saya kasih bintang tiga dulu,karena gak bisa di gedein layar nya,tolong lah bikin bisa di gedein supaya lebih seru nonton nya",-1
Farel Usman,5,2023-08-17 7:08:21,Keren semua Minusnya cuma satu ga bisa di besarin layarnya saat menonton live atau bisa di bilang fokus ke layar dan karakter nya ga ngalangin ğŸ‘ŒğŸ‘Œ,0
Ahmad Firza Nurrahman,3,2023-08-15 21:55:38,ga pernah ada muncul notifnya padahal udah disetting...,-1
Raymond Fernando Pangkal Pinang,5,2023-08-14 14:42:29,"Aplikasinya bagus banget masih aman tanpa kendala sejauh ini ğŸ˜„, walaupun begitu terus tingkatkan lagi ya min",1
Aditya Adit,4,2023-08-12 10:28:03,"Bagus, tapi lebih bagus lagi kalau ada fitur bahasa Indonesia",1
Reza,1,2023-08-10 8:19:27,tolong dong diperbaiki apk nya karena tidak bisa login sama sekali,-1
Odi Nuryahya,1,2023-08-09 12:23:20,Gimana si wifi lancar masuk showroom malah your internet connection and try again,-1
M Andi,2,2023-08-09 3:03:06,Gue cuma mau bilang kalo ada yg sr kok gak ada ya notif yg masuk padahal aku udah follow membernya gimana itu tolong di perbaikin dong notifikasinya itu aja,-1
Raden ziga,5,2023-08-06 19:05:33,Gua donlot ini karena cuma mau lihat dek Freya JKT48,1
Whyy N,1,2023-08-06 15:49:14,Verifikasi g ad masukÂ² kntl,-1
SAMUEL RIVALDO PANJAITAN,5,2023-08-05 16:40:22,Apk nya bagusÂ² aja nggak ada bug atau lag kalo di akuu,1
Billsky,3,2023-08-05 10:46:04,"Sebenernya aplikasi ini udah bagus. Cuman mau kasih saran aja. Kalau ada orang yang mau kasih gift, kasih space buat orang tersebut bisa menuliskan sebuah pesan untuk idolnya. Agar idol tersebut juga bisa membaca pesan yang disampaikan dari sang pemberi gift. Terimakasih ğŸ™",0
Muh Aprians,5,2023-08-04 8:44:14,Saya kasih bintang 5. Saya senang karena bisa lihat idol saya Freya nashifa jayawardana JKT48. Kalo freya sudah tidak live showroom lagi terpaksa saya unistal apknya..,1
Dimas Andika,1,2023-08-02 12:29:03,Apk thololl verivikasi gagal terus,-1
Dwi Dwii,4,2023-08-02 9:02:44,Kadang suka nglag kalo lagi nonton tuh,-1
Pasti Doruli,5,2023-08-01 12:19:20,Bagus sih tapi notifikasi kadang gak keliatan,1
Muhammad Firdaus,4,2023-07-30 14:41:45,karena saya suka jkt,1
Lalang Danadyaksa,5,2023-07-29 10:48:27,Aplikasinya bagus bisa liat member JKT48,1
Ahmad Baihaqi,5,2023-07-27 12:24:07,Menyenangkan...mudah di gunakan..konsepnya keren,1
M.Andrean Minoko,4,2023-07-27 10:19:48,"FYI kalau kalian pakai kartu 3, verifikasi kemungkinan bakal gagal. Jd di sarankan pakai provider yg lain",0
D.I.T organizer (Out Bound sukabumi),5,2023-07-26 13:26:28,Wow Wow Sangat bagu sekali,1
David Pogalan,5,2023-07-26 11:51:41,Saya suka dengan aplikasinya,1
Kyaru Ky,4,2023-07-25 14:22:24,Terimakasih menghadirkan amplikasi ini,1
28. Rahadhino Nugra P.S,5,2023-07-25 7:50:34,"Terimakasih developer, karena aplikasi ini saya bisa melihat live oshi ku",1
"Ripal ,",1,2023-07-24 15:48:10,Cuih sistem login nya ampas banget udah coba beberapa kali lewat twitter sama fb mental semua pas udah mau bisa tiba tiba sinyalnya dianggep jelek padahal dipake ke apk lain normal normal aja cuih sistem login ampass paling ampas dibanding apk lain sistem login nya,-1
Pandan Medan,5,2023-07-24 12:36:35,Aplikasih ini sangat bagus cocok buat orang gabut,1
Reval,5,2023-07-24 9:54:04,Nggak terlalu paham bahasa jepang jadinya bingung,-1
Sari kasari,1,2023-07-24 6:24:38,"Masa verifikasi no malah gabisa, pengen komen di sr JKT48",-1
Muhammad Hamdah,2,2023-07-24 4:37:04,"Tolong benarkan sistem verifikasi supaya bisa komen dengan leluasa tanpa verifikasi error,yang benar saja dong ni aplikasi",-1
Macan Exe,2,2023-07-24 2:58:30,"Kenapa notif showroomnya tifak keluar, padahal udh dinyalain notifnya",-1
Agung Laksono,1,2023-07-24 2:52:16,Ga bisa di buka apl nya,-1
RENO KRISNA,1,2023-07-23 12:50:47,Aplikasi yang bagus saya suka,1
Verda ClarestaS,5,2023-07-23 12:03:21,Bagus banget coma aku GK tau cara ganti bahasa ke bahasa Indonesia,1
Teguh Susilo,2,2023-07-23 11:07:34,"Agak kecewa karena gabisa coment, katanya harus verifikasi ke sms tapi malah di verifikasi malah gabisa",-1
Kristian Anugrah,5,2023-07-23 6:51:17,Sudah sangat baguss,1
Faissaeganteng 2329G,1,2023-07-22 9:47:37,"Dah lah, gw mau komen aja di per sulit, kek mana lah kartu gw yg normal aja g bisa. Pengen bet komen cuma gara gara verivikasi SMS yg kek ğŸ¶ jadi kecewa",-1
Andra,1,2023-07-22 9:37:22,Nomer gua cuman 11 digit mau verif ga bisaÂ²aneh banget. EH INGAT YA GA SEMUA ORANG NOMER HP NYA 12 DIGIT,-1
Marvel Vanat,5,2023-07-22 6:50:26,Bagus karna ohsi ku masih ada ci shani,1
Wanzzy Wanzzy,5,2023-07-22 5:30:54,Aplikasi sudah bagus tolong bahasa dalam aplikasi tambahkan berbahasa Indonesia agar pengguna aplikasi ini lebih mudah memakai aplikasi ini,1
Suman Natanael Sinaga,5,2023-07-21 9:52:31,Aplikasi ini sangat bermanfaat,1
Louis Daffa,5,2023-07-20 23:04:47,Keren asik juga,1
Anwar Mudzaki,5,2023-07-20 7:29:56,Aplikasi bagus sekalk saya sangat Suka saya bisa Menonton live Memjkt/,1
Mohamad Syafiq,5,2023-07-20 4:42:15,aplikasi membantu untuk mengetahui tentang semua perkembangan sangat ğŸ‘,1
Naufal Satria,2,2023-07-20 4:37:08,Min tolong agar bisa verifikasi nomer kartu Tri ya min semoga cepat di proses ya min untuk kartu Tri agar bisa verivikasi,0
Arga Adinata,3,2023-07-19 15:00:09,"Min saya mau tanya kenapa code buat verify nya lama dapet nya, dari kemaren saya nunggu ga ada di SMS",0
Siti Nurfarida,3,2023-07-19 14:07:42,knp seh padahal udah ikutin arahan lo masih gk keluar verifikasi nya di benerin lagi lah,-1
M. Dwiki Rahmadi,3,2023-07-19 13:49:16,Tolong tambahkan bahasa indonesia nya yaaa..,0
Irdan Mgl,5,2023-07-19 12:32:54,Aplikasinya baguss terlebih saya suka nonton showroomnya michiiy,1
Enrico Nugroho,4,2023-07-17 21:21:45,"Secara fungsional bagus, namun sayang tidak ada bahasa indonesia",1
Feza Zakarya,1,2023-07-17 16:34:26,"Untuk verifikasi SMS kenapa susah sekali, mohon segera di perbaiki",-1
Rachmania Dayu,5,2023-07-17 9:48:19,Semoga ada dalam bahasa Indonesia nya ğŸ™,1
15.Muhammad Nurus Said,5,2023-07-16 23:40:16,"Halo, semoga dibaca, yang gk bisa verif akun,biar verif caranya kalian harus login menggunakan nomer kartu SELAIN nomer kartu TRI (tidak bisa pake np kartu 3)",0
ERICK,5,2023-07-16 21:13:31,Aplikasi ini keren,1
Satria Saputra,4,2023-07-16 15:51:47,"Udah bagus kok, cuman masalahnya kalo pake wifi malah gabisa harus pake data. Tolong dibenerin lagi",-1
Muhammad Ali Reza,1,2023-07-16 15:46:29,Tidak dapat verifikasi nomor telepon,-1
Razzaq,5,2023-07-16 5:06:45,Bg kok di gw ga muncul notif ya bg?,-1
Kata Luki,5,2023-07-15 14:52:25,Karena asik dan juga bisa berintaraksi dengan oshi sendiri walaupun lewat hp wkwkwkwk,1
kurniawan jr,1,2023-07-15 2:48:33,Kecewa sih soalnya pas saya mau log in itu kan di suruh masukin ID Shoowroom padahal ID nya udah sesuai dengan yang di berikan tutorial tapi gak bisa gagal terus dan juga bahasa nya susah untuk di mengerti tolong bisa di rubah lagi dan di tambahkan fitur bahasa Indonesia nya terima kasih,-1
Muhammad Ayyasy,5,2023-07-14 11:59:27,Bagus karena ada jeketi,1
Mon Moona,5,2023-07-14 8:46:09,"Apk ini sangat bagus,saya saya sangat terbantu karena apk ini,karena apk ini saya dapat melihat showroom dari member JKT48,Terimakasih",1
Irham Anis,5,2023-07-14 5:11:40,Kukasii bintang 5 tapi ko ga ada notif ya? Padahal udah di follow,-1
Lutfi Andra,1,2023-07-14 4:08:49,Kok g bisa login nih tolong lah gw mau nnyon ini,-1
center arva64,1,2023-07-13 17:34:57,Udah download tapi setiap sign up gak bisa terus dan kalo bisa tambahin fitur pilihan bahasanya biar gampang ngertinya,-1
khulaifi gaming,5,2023-07-13 16:13:15,Apk bagus mines nya grafik aja sih,1
Nuno SN,5,2023-07-13 15:38:01,Hd banget buat ngeliat showroom,1
Alwesid,3,2023-07-13 13:54:53,"Min kok di saya bug koneksi ya? Jadi stuck di tulisan reconnect, pdhl wifi saya lncar",-1
Dimas Naufal Fauzan,5,2023-07-13 10:44:28,Terimakasih berkat showroom aku bisa melihat bidadari,1
Kevin Adnan (Kevin Adnan),5,2023-07-13 3:23:16,"Tolong tambahkan bahasa indonesia, apakah anda tidak menyadari bahwa fans indonesia sangat banyak? Tolong sediakan bahasa indonesia, terimakasih.",0
Dika Fhauzy,3,2023-07-12 17:26:04,ngapa notip nya jadi kaga muncul sih dongoo,-1
muhammad nasyid,2,2023-07-12 17:12:20,"Kenapa suka tidak muncul notif, bikin kesel aja",-1
Muhammad Sholeh,1,2023-07-12 15:25:39,"Ini knph!? Setiap ganti rom orang lain, selalu keluar sendiri.",-1
Achmad Hadji Zamzamy Murthy,5,2023-07-12 15:09:00,Pokoknya ada oshiku dah cukup dah tu,1
Fahri Dwi Saputra,5,2023-07-12 13:55:59,"Apknya keren,aku bisa liat oshi ku ngomong:)",1
Hafiz. fajriawan,4,2023-07-12 12:23:04,Sangat cocok dan bagus,1
Oppo Sekadau,5,2023-07-12 9:44:19,Bagus pake banget,1
Surya Dharma ali,2,2023-07-11 17:55:08,Ko ga bisa registrasi nomer si? Pdhl udh bener semua dari kode kata sama nomer tetep aja keulangÂ²,-1
Reifan Julianto (Rey Aja),5,2023-07-11 17:32:14,Bagus bett lah akhirnya saya bisa nonton live nya member jkt48,1
KlinikAini Aini,5,2023-07-11 6:18:17,Bagus setiap saya buka member JKT48 pasti ada yang live.soalnya saya jarang juga buka hp jadinya setiap buka hp ada yang sr,1
Irsyad Maula,2,2023-07-11 2:28:00,Sangat kecewa pas mau buat showroom id kan di situ tertulis 6-30 huruf saya baru menulis 3/5 huruf ga bisa,-1
AHDE PRT,3,2023-07-10 8:14:38,Tidak ad notif saat member showroom Padahal dah follow,-1
aufa ns,3,2023-07-10 7:53:54,showroom kadang notif nya ga muncul,-1
Afkar Oktaviano,5,2023-07-09 14:40:07,Makasih showroom karna kamu aku bisa lihat oshikuuu thanks,1
Akun Utama,1,2023-07-09 14:20:28,"Saat mengisi verifikasi selalu ""Failed to issue SMS verification code."" mohon segera dibetulkan",-1
7D_Wildan Fuadi Tampan,1,2023-07-09 14:00:49,layar hitam loding terus sampe jenggotan,-1
Novallino Sabrian,5,2023-07-08 8:57:23,Bagus untuk menonton streaming,1
Zidan Muhammad,1,2023-07-07 15:05:16,Kenapa tidak bisa login padahal sudah sesuai emel,-1
