userName,score,at,Ulasan,Sentimen
Wildan Septa,1,2023-07-07 12:47:03,Kok gk bisa login padahal jaringan juga lancar apakah butuh wifi nasa untuk login?,-1
Azriel Radhika pamungkas,5,2023-07-06 20:57:27,Untuk vidio showroom dan suaranya lancar,1
m.naufal yusfa fata,2,2023-07-06 12:02:08,min bikin lah buat ganti bahasa nya,0
RIZKI Abdillah,5,2023-07-06 3:39:54,Bagus tapi g ad notif dari jkt48,1
Fariz Saya,5,2023-07-06 2:00:45,"Aplikasi ini sangat bagus karena gw suka isi cewekÂ² jjt48,ğŸ˜ğŸ˜",1
Bian,1,2023-07-05 8:45:37,knp pake wifi suka gabisa padahal apk lain lancar aja,-1
Diyan Ayu fahira,4,2023-07-05 2:52:50,4 dulu deh soalnya aku ga bisa verifikasi no hp padahal aku udh bener ko ngisinya tp tetep aja ga bisa udh aku coba berulang kali sampe ganti account,0
Silfi Lutfi,5,2023-07-04 15:03:54,"Sumpah ni apk keren banget, enak banget nonton sr member jkt48 di apk ini gratis lagi tapi kalo mau nonton langsung dari jktnya harus bayar, tapi gpp enak buat nonton member apalagi bisa dapet gratis bintang cuman nonton paling cuman nyampe 5menit dapet 10 bintang, pokoknya keren banget lah ni apk mantep.",1
fernando,5,2023-07-04 9:15:32,Keren dan bagus,1
Aditya Prayoga,5,2023-07-04 4:41:01,Kenapa ga muncul notif sr padahal sudah menambahkan favorit pada member,-1
Dendri Pria Sejati,4,2023-07-03 19:50:00,ga ada notipnya padahal udh follow,-1
Zaki Al-Majid,5,2023-07-03 15:16:54,Karena aku bisa melihat oshi ku shorum,1
Ananda Muhammad,5,2023-07-03 14:19:48,Aplikasi nya bagus mantap cocok kalo pengen liat live,1
Michael Aaron,3,2023-07-03 11:29:46,Verifikasi SMS gagal terus padahal sudah bener,-1
Dudung Dodong,1,2023-07-02 16:39:44,Kenapa saya donlowd dan tidak bisa login semua sudah benar dan tidak bisa login tolong jelaskan,-1
M Wahyu Wahyu,4,2023-06-30 0:36:17,Segera perbaikan notifikasi nya ya min kadang muncul kadang engga,-1
Badrul Opet,1,2023-06-29 16:47:51,"Gajelas, padahal udh follow tapi ga ada notif",-1
revina apriliani,5,2023-06-29 10:03:05,Sangat puas dan membuat aku untuk bisa sr nya JKT48 ğŸ˜ŠğŸ˜,1
Nero Jaya,5,2023-06-26 8:12:34,Siap yang disini download cuma buat nonton showroom nya jkt48,1
Nicko Cell,5,2023-06-24 23:20:56,Suka banget sama aplikasi nya bisa nonton showroom oshi,1
Arjuna b,5,2023-06-24 0:36:46,Aku suka showroomm karena disana oshi ku dia (Marsha JKT48) showroom disana. Showroom ilove you so muchh - Aldi Taher,1
Pra Mita,3,2023-06-23 2:35:49,Bagus si apk nya tapi login nya agak susah tllong perbaiki bug nya dan penggunaan data pas lagi show rom di kuranhi,0
Nanta,1,2023-06-21 10:02:01,ga bisa pakai wifi,-1
Indah Fadillah,1,2023-06-21 9:16:37,"Saya g bisa daftar akun ataupun login, padahal saya mau nonton showroom marsha jeketi 48. Tolong dong segera fi betulkan masuknya sangat sulit. Jujur saya kecewa karena saya g bisa masuk dan ketinggalan live oshi saya.",-1
Aldi Yansyah,2,2023-06-21 6:00:31,Kecewa saya karena verifikasi kode nya gagal terus padahal udh pake kartu tri sama smartfren tapi tetep gagal tolong dong,-1
theycallmeal faiq,5,2023-06-20 9:22:06,"Kalo anda wota wajib punya aplikasi ini, jangan ragu buat download!",1
muh dzaki,5,2023-06-18 15:37:42,tolong tambahkan bahasa indonesia dong developer ğŸ™ğŸ¼,0
Sobirin User,1,2023-06-18 14:20:08,Gak bisa login pakai FB pakai Twitter gak bisa masuk coba perbaiki lagi dong sr nya,-1
Serpin Saputra,4,2023-06-15 14:44:18,Saya kasih bintang 4 dulu dan tolong di tambahin bahasanya agar lebih mudah di mengerti dan di pahami,1
Udin ese,5,2023-06-15 14:32:49,Sering banget kalo ada yang live itu ga ada notifikasi jadi tolong lah ya,-1
M. Hamzah Adi Pratama,1,2023-06-15 12:55:32,Kenapa bug gabisa masukin code buat biar bisa komen ğŸ˜“,-1
Niel Alri,5,2023-06-15 3:26:43,Sejauh ini aplikasinya keren banget,1
06 Muhammad Siswan,3,2023-06-14 11:30:44,"Kenapa akun saya tibaÂ² ke logout,Pas mau login lagi ga bisa?",-1
Saputra Dewa,2,2023-06-12 11:11:11,"Aku nonton YouTube kualitas 1080p60 lancar, waktu pakai showroom malah katanya ada masalah di internet",-1
Mohamad Hanijar Purnama,5,2023-06-12 10:03:39,Saya kasih bintang 5 karena idol saya suka showroom yaitu jkt48,1
Evan Sandreas,1,2023-06-11 13:39:07,"Gua kasih bintang 1 ğŸ˜¡,,,,karna gua ga bisa komen di sr oshi ğŸ˜¡,& gua ga dapet no verif Nya woi ğŸ˜¡ gua udh ikutin cara tapi tetap aja ga dapet no verif ktl!!!!!!!!",-1
84 Ruslandi,5,2023-06-09 11:35:26,tolong sediakan bahasa Indonesia atau Inggris,0
Xzen Trosh,5,2023-06-08 11:55:58,"Saya kasih bintang dua dulu karena saat saya pertama pakai showroom aman aman saja tapi kok sekarang kalau buka room, layar item loading terus , padahal jaringan bagus buat aplikasi lain",-1
Argyadav (Gyada:v),3,2023-06-03 13:43:11,"Kasih bintang e dulu karena kadang suka gak ada notif, tolong perbaiki ya devğŸ™ğŸ½",-1
Luniko Jama_ 2229,5,2023-06-01 16:36:09,"Bagus mint... Cuma notifnya kadang ada, kadang gak ada",1
Rizal Hulalq,5,2023-05-31 14:27:36,"Suka bngt sebagai orang yang bru ingin mngenal dunia idol gw suka ni apk krn bnyak idol"" yang ge suka live di sini",1
Ryann,2,2023-05-30 15:02:48,"Min kenapa kagak bisa comen si harus login dulu tapi kode SMS-nya kagak di kasih"" mmk",-1
Lalu Haryadi Putra,2,2023-05-30 14:57:45,Sangat kecewa karena verifikasi gagal terus padahal sudah sesuai tutorial yang diberikan. Tolong perbaiki bug verifikasi ini. Saya menjadi tidak bisa berinteraksi menggunakan kolom komentar,-1
Ferdi Adi,5,2023-05-30 14:44:35,Siapa bilang ga bagus... Setidaknya ak jadi sering liat Freya tanpa telat. Dia juga suka bilang kok di story Ig kalo mau live sr,1
rudy xiao,3,2023-05-30 14:32:52,Aku mau lihat oshi ku live tapi gak bisa layarnya loding terus tapi Internet ku bagus apa karna aku di jerman makanya gak bisa atau ke mana ka,0
Khoirul Anwar,3,2023-05-30 14:28:01,"kenapa saya gabisa komen, terus di suruh verifikasi no hp malah gabisa"" mulu ğŸ˜¡",-1
HENDRA N.M,1,2023-05-30 11:42:16,Kok gak bisa login ya padahal udh sign up trus kok akunnya gk ada malah disuruh sign up lagi gmn sih yng bikin bot bngt,-1
ALDY FF,1,2023-05-30 10:13:47,"Ini knapa si tiba"" Very code smsnya ga muncul muncul",-1
Palimo Bayua,5,2023-05-30 9:47:59,jangan sering bug min tolong di update lagi yg gg,-1
Ydu Exi,5,2023-05-30 9:26:59,Gara gara apk ini gw bisa melihat nikmat yg luar biasa,1
RIFVA GMR,5,2023-05-30 8:11:15,Showroom premium dengan pembayaran google play kalau bisa,0
Nur Syaqira,5,2023-05-30 7:27:43,Bagus bgt aplikasi nya bisa nonton showroom freya tercintaaa,1
Thomas Ari Wibowo,5,2023-05-29 19:19:24,Maybe tambahlah pilihan bahasa di aplikasi biar mudah dimengerti. Thanks,0
zahra tsta,1,2023-05-28 15:34:26,Verify sms nya error terus tolong dong di perbaiki lagi kalo gini saya jadi ga bisa komen di srğŸ˜¼,-1
Rizki Pr,3,2023-05-27 14:07:58,"Gblk verif gk kelar"" padahal bener no tlpn ama kodenye",-1
Har_,4,2023-05-23 3:12:37,"Mohon notifnya di benerin, kadang dapet kadang nggak",-1
Andromeda,3,2023-05-22 23:24:33,"Kenapa gabisa pake Twitter login nya, tolong kembalikan login via Twitter",0
arkaan daarus chanel,4,2023-05-21 13:05:52,Semoga bisa update ada bahasa Inggris ato indo ya,0
Jak Daniel coys,5,2023-05-19 10:57:38,Tingkatkan kalo bisa permudahkan pembayaran buat nonton theater jkt48... Biar jangan cuma bisa visa dan mastercard aja,1
M Raka Widananta,3,2023-05-18 16:21:56,Verifikasi sms ga ke kirim,-1
Fahmi Ezix,3,2023-05-17 23:18:36,Terakhir ini gak ada notif masuk padahal lg live sampai ku coba instal ulang,-1
AR Gaming,5,2023-05-14 14:29:27,Ngk perlu kata kata lagi the best pokoknyağŸ”¥,1
Achmad Firman Saputra,3,2023-05-13 18:02:01,Gambar kadang tersendat namun suara tetap berjalan dan akhir-akhir ini tidak mendapat notifikasi jika ada Livestream.,-1
muhammad faiz,5,2023-05-10 7:13:16,Cuma mau liat Freya tapi gg sih apk nya,1
ãƒŠãƒ“ãƒ« Nabill,3,2023-05-05 15:43:51,udah bagus2 eh gabisa dibuka pdhl buka aplikasi lain lancar. wkwk kocwk,-1
hendra gunawan,5,2023-05-01 2:40:16,Download apk ini cuma buat liat freya doang ğŸ™‹ğŸ™‹ğŸ™‹,1
Varel abas Varel,5,2023-04-30 14:44:45,Aplikasi nya bagus Aku mau liat freyaaaaaaaaaaa,1
Rangga Susanto,4,2023-04-29 17:19:43,"Bagus, cuma harus ditingkatkan lagi agar lebih HD",1
Alsha Channel,4,2023-04-29 16:16:12,Apk nya bagus tpi tolong tambah kan bahasa indonesia,1
Luthfi Fatiha,5,2023-04-29 11:03:50,"Saya suka aplikasi ini, karena aplikasi ini saya bisa melihat oshi saya live streaming",1
Calon Kades,5,2023-04-29 10:29:14,Good . Jadi bisa interaksi langsung sama member jeketoy,1
A Raymses,2,2023-04-29 9:48:05,Notifikasi gak ada?? Banyak Bug agak lelet.,-1
Muhammad Kahfi,5,2023-04-29 7:20:25,Saran tambahin bahasa Indonesia,0
Achmad fawwaaz fevanda adhine alfarish,4,2023-04-29 5:35:37,iyaa sangat baik apk nya,1
Rizky Fauzi,5,2023-04-29 1:40:24,aplikasi ini sangat menyenangkan,1
Sheva Bintang,3,2023-04-26 3:34:36,"overal bagus cuma notifnya g pernah muncul,klo bisa next update di perbaiki lagi",1
Abi Arkhan,4,2023-04-25 23:43:36,"Aplikasi nya bagus, tapi tolong ditambahkan untuk bahasa Indonesia nya",1
Gunani Gunani,4,2023-04-24 16:26:04,"Keren,tp kurang bahasa indo",1
Audy Pratama,5,2023-04-24 14:55:05,Mantap karena ada JKT48 nya hehehe,1
Hafiz Fahrezi,4,2023-04-24 10:15:46,"Tolong tambah bahasanya, Indonesia gitu",0
Ilham Promax,1,2023-04-21 19:56:59,Saya daftarnya gagal terus,-1
Glenn marchel,5,2023-04-18 11:29:10,Keren sih apk nya,1
Heni Susilawati,5,2023-04-14 10:13:34,aplikasi nya bagus banget aku jadi bisa liat oshi,1
Muhammad Zakwanadi Hidayatni,1,2023-04-09 17:12:15,"Gak bisa Log in pake FB, padahal awal2 masih bisa log in FB, (gak ada peningkatan)",-1
Muhammad Haikal Fabian,2,2023-03-14 11:05:11,"Tolong dong notifikasi nya di perbaiki lagi, dan update pakai bahasa Indonesia",-1
CHUNTER TECH,4,2023-03-09 4:27:39,"Platform streaming terbaik, hanya saja kurang bahasa indonesia padahal app ini adalah publish global",1
HAFI Phantomnya Jesslyn,2,2022-12-21 10:09:02,"jaringan lancar, tapi network error teruss gatau lagi harus gimana padahal baru aja dapet ava favorit yg ada nama oshi aku",-1
nadia wendri,2,2022-11-24 23:50:18,Gak bsa d update padahal jaringan bagus dan showroom nya gak bsa d buka aneh,-1
Romi Aulia putra,5,2022-11-03 9:34:05,Sangat bagus sekali dan menghibur.tolong juga apk ini pakai bahasa indonesia,1
Rantonius Haloho,3,2022-10-28 12:29:23,"apk nya bagus, tp klo lebih bagus ditambahin fitur FULL SCREEN kadang g enak nonton tapi ditutupin give yg gede gede",1
Dian Fitriyana,3,2022-10-24 15:11:09,"habis upgrade kok mlh ga bsa dibuka lagi, eror trs",-1
bayu nugroho,4,2022-10-14 13:16:07,"Sebenarnya aplikasi ini bagus,buat mendekatkan fans dengan artis mereka,tapi karena hampir semua menggunakan bahasa jepang,jadi ga tau yang live ini siapa saja,tidak ada setting untuk menerjemahkan ke dalam bahasa inggris.",0
Agus Prayitno,1,2022-09-02 8:01:09,Showroom ID susah di buat. Gagal terus. Jadinya gak bisa sign up. Uninstal,-1
Adhityo Nur,4,2022-08-10 12:59:18,"Masih bingung kenapa gada notif, kalo ada solusi tolong kasih tau, kalo dah fix ku ganti jadi bintang 5 ğŸ˜",0
R,5,2022-07-18 6:18:00,"Awalnya coba coba, setelah diwaro jadi ketagihan. Terimakasih showroom.",1
zooon taaa,4,2022-07-17 6:53:09,"Bagus tp syg gak kyk ig, yg jaringan kurang bagus pun msh lumayan lancar nonton live,,",0
agus zhalfa febrian,5,2022-07-09 2:57:57,"Bagus aplikasinya, namun sayangnya tidak ada pengaturan bahasa indonesia",1
Bagas Riyansyah,3,2022-04-21 9:56:00,"Kadang eror gak muncul gambar dan suara, bahasanya juga gak ada pilihan",-1
Sandy,5,2022-04-03 11:28:30,"Bagus appnya bisa liat idol fav live, kekurangan cuman bahasa doang sih setengahnya masih jepang gak full inggris",1
Anisah Nabilah Harsandy,5,2022-03-16 15:07:29,"Aplikasinya bagus, tapi agak sedikit kesulitan dalam bahasanya",1
Kelvin Sarwono,5,2022-03-16 13:27:35,Aplikasi nya bagus banget. Klu yg ndk tau cara daftarin akunya coba buat akun twiter dlu lalu daftar showroom nya pake twiter. Semoga membantu ğŸ‘ğŸ‘,1
Fibri Lumiu,1,2022-03-16 3:06:30,Bagaimna. Bb b. cara. Menganti. bahasa. korea. ganti. bahasa. indonesia. saya. tidak. tau apa. kah. anda. bisa. kasi. tau. saya,0
Amel Nanami,5,2022-02-05 15:46:10,"Cukup lumayan bagus, apk ini bisa melepas rasa rindu ku kepada oshii kesayangan ku ""Abe Nanami - Last Idol""",1
Alviana Santos,5,2022-01-05 22:52:59,Bagus tapi sedikit kesulitan untuk bahasa,1
Anggia Oktaviani,5,2022-01-01 14:28:56,"Aplikasinya bagus, dan keren, termasuk fasilitasnya!",1
Aswar Muhammad,5,2021-12-27 14:44:42,"Terima kasih atas aplikasi nya bisa berkomunikasi dengan Idola kota JKT48 , terus ditingkatkan lagi apk xğŸ‘ŒğŸ‘ŒğŸ‘ŒğŸ‘ŒğŸ‘ŒğŸ‘ğŸ‘ğŸ‘",1
Rael,5,2021-12-25 14:21:50,"Fiony cantik, Fiony lucu, Fiony gemas. Tapi Ashel juga cakep, gimana dong?",0
Riza,3,2021-11-18 2:42:15,"Saya sangat kesal dengan aplikasi ini karena tidak menyediakan fitur matikan pemutaran otomatis, aplikasi ini masih memutar video tanpa henti dan bukan berasal dari orang yg saya ikuti",-1
Yogi Prayogi,5,2021-10-20 1:35:32,Nih aplikasi seru juga bisa ketemu idol disini terutama dari jkt48 dan top upnya juga murah murah. Kalo ketemu idol dari jepang ngga ngerti bahasanya wkwkwk,1
Hermanus undi undi,3,2021-10-13 19:11:35,tingkat kan lagi kualitas aplikasinya supaya banyak penggemarnya..,1
Louis Sirait,3,2021-09-02 11:13:39,"Saya pikir, showroom berupa sebuah gedung tempat jual beli mobil & motor. Ternyata, ada lagi showroom yg ini. Saya baru tau. Saya kasih bintang 3 dulu. Kalo beneran bagus, baru saya kasih tambahan bintang lagi",0
Jelita C. Stibies,5,2021-07-29 2:47:14,"App nya udah bagus Tapi kalo bisa ditambahin bahasa Indonesia juga. Bahasa Inggris aja saya msih patah"" apa lagi Bahasa Jepang ğŸ˜‚ğŸ˜‚",1
with niara,5,2021-07-21 2:48:16,"Dari sini aku bisa mendapatkan waro, dan tahu kepribadian idolaku offcamnya seperti apa. Ternyata masih bobrok, kocak, dan kadang serius ğŸ¤£. Setidaknya masih bisa menjadi fans yang berguna, dengan menyumbang bintang bintang.",0
Rizky Arief,5,2021-07-09 13:27:59,Terimakasih karna saya bisa lihat oshi dan membeli coin dengan mudah,1
Aryaputra Raihan w,5,2021-07-08 21:46:28,Bagus cuma kalau bisa tambahkan bahasa indonesia nya dong,1
Haqqi Rockas13,5,2021-07-04 8:36:13,"Bagus, tp seharusnya ada pilihan bahasa.",1
tya pradistyaa,5,2021-07-04 3:44:32,"baguss pol, download ini cmn mau liat member jkt48 hehe tapi ga ngerti bahasanya jd harusnya ada bahasa indonesia nya ngab",1
noginogian 2121,3,2021-05-21 8:27:36,Kalo bisa pas kita ngetik bahasa indo di kolom komentar udh bisa mendeteksi bahasa jepangnya biar si Idol yg baca komennya juga paham apa yg kita tulis begitu,0
monica stefani geraldin,5,2021-05-13 12:49:50,Wajib download nih kita bisa mngenal member ga hanya JKT 48 tpi member AKB48 group smbil blajar bahasa jepang otodidak dan jadi lbih tau info setlis terbarunya,1
Alvin Candra,5,2021-05-12 15:13:15,"Mhank, bisa gift spesialnya bisa ditambahkan monyet dan pegasus ga ? Terus filter aliennya balikin lagi ya. Aku kasih bintang 5 dulu, nanti kalo bisa, tak tambahih bintang",0
Rizky Riyanda,5,2021-05-09 19:15:39,Bagus bisa buat belajar bahasa Jepang dan bisa liat idol yg di Jepang juga,1
Alfian Andhika Putra,5,2021-04-27 11:35:15,"Kenapa kalian harus download showroom? Karena saat kalian download ini apk, kalian bisa melihat dedek dedek gemesh. And than kalian bisa mengeluarkan uang kalian untuk membeli tower PLN sekian makasih...",1
nabilla inggrid,5,2021-04-23 3:45:02,"Terimakasih, aku jadi bisa menonton oshique dan mendapatkan waro dari adzana shaliha. Hehehe, bisa lebih kenal sama member juga karena disini mereka lebih bawel.",1
BILLY REONALDO,5,2021-03-30 1:40:23,Tolong setingan bahasa nya bisa di perbanyak seperti bahasa indonesia atau inggris,0
Firas Alwista,5,2021-03-26 2:23:24,"Sejak aku gabung di ShowRoom, alhamdullilah ketagihan belajar bahasa Jepang dan dapat kenalan asli Jepang, terimakasih sudah menghubungkan komunikasi antar budaya Indonesian - Japan ğŸ‘",1
Nursiam Ramdhani,5,2021-03-06 1:22:34,"This a good aplapplication, tapi tolong banget setting language nya cantumkan bahasa Indonesia.",1
Kontoru,5,2021-02-09 15:24:33,"terima kasih mama sudah mengijinkan aku mendownload aplikasi showroom, mulai sekarang nilai matematika aku akan bagus biar aku bisa top up lagi pakai uang mama, dan terima kasih garena sudah membuat aplikasi ini, dengan adanya aplikasi ini aku jadi semangat untuk belajar matematika agar mama bisa top up untuk aku, sekali lagi terima kasih garena",1
Komang Raditya Gunarsa,5,2021-02-09 11:39:51,"sejauh ini belum menemukan kekurangannya, top lah!",1
Bentos AFAV,5,2021-02-07 15:01:05,"Mantap.... jadi pengganti live IG, dan Idol jadi lebih sering live berkat apk ini.",1
ari burhanudin ramdani,5,2021-01-29 15:06:01,Mantap showroom.. Karena apk ini nama saya bisa disebut member meskipun belum pernah ketemu,1
Fina Rohmah,5,2021-01-25 7:46:17,Makasih banyak berkat apk ini bisa lebih dekat dg oshi. Yeee di waro juga Makasih,1
Oshinya_Shani05,5,2020-12-25 12:02:10,Aplikasinya keren sangat menghibur karna bisa liat live osha oshi thank you showroom,1
Albany Prayoga Santoso,1,2020-11-17 23:41:40,"Mohon atas bantuannya, mengapa di aplikasi ini tidak ada setelan bahasa?, dan juga maaf apakah aplikasi ini hanya mencintai Korea saja?, Itu berarti namanya mau menang sendiri. Mohon maaf atas omongan saya",-1
Wedus Kambing,5,2020-10-17 11:11:17,Mantap sih Btw kalau mau di waro gampang sih. Modal gratisan tapi dibwaro wkwkwkwk Seneng banget pasti. Pokonya nih aplikasi rekomen bgt deh,1
SOFFA AL MARWAH,5,2020-10-04 6:46:05,"perasaan dulu gw udh pernah kasih rating geh tapi gppalah, oke jadi pasti kalian semua udah pasti tau knpa pada dwnld apk ini, ya betul karna ingin melihat oshi tercinta wkwk, apalagi yg oshinya banyak mantep bngt ga tuh hampir tiap hari liat live, btw oshi gw cuma 3 kok tenang aja ga banyak.",1
Archo,5,2020-09-24 3:23:58,Mantap.. Tapi gimana cara beli gift nya.. Ga ngerti bahasa Jepang,1
TERBALIK DUNIA,5,2020-09-21 7:40:24,"Intinya bagus fiturnya juga mantap , dan yqng pasti bisa liat oshi",1
Mahdi Hanif,5,2020-09-18 13:17:39,"Bang, fitur translate ditambahin bang, masih ada konten tersisa yang bahasanya jepang",1
Pengguna Google,5,2018-09-20 7:09:44,good bisa liat my oshi secara langsung di showroom .. bnyk yg nnya knp ga ada org indo? ini apps showroom khusus buat org2 jepang . rata2 dr Idol sama artis jepang,1